,OrphaNumber,Disorder_Name,Category
7133,309288,"Alpha-mannosidosis, adult form",rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare bone diseases
7134,309294,Sialidosis,rare inborn errors of metabolism|rare genetic diseases|rare ophthalmic disorders
7135,309297,Mucopolysaccharidosis type 4A,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare ophthalmic disorders|rare bone diseases|rare transplant-related disorders
7136,309310,Mucopolysaccharidosis type 4B,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare ophthalmic disorders|rare bone diseases|rare transplant-related disorders
7137,309319,Disorder of sialic acid metabolism,rare inborn errors of metabolism|rare genetic diseases
7138,309324,"Free sialic acid storage disease, infantile form",rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare bone diseases
7139,309331,Intermediate severe Salla disease,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
7140,309334,Salla disease,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
7141,309337,Lysosomal glycogen storage disease,rare inborn errors of metabolism|rare genetic diseases
7142,309340,Disorder of lysosomal-related organelles,rare inborn errors of metabolism|rare genetic diseases
7143,309347,Disorder of protein N-glycosylation,rare inborn errors of metabolism|rare genetic diseases
7144,309447,Disorder of protein O-glycosylation,rare inborn errors of metabolism|rare genetic diseases
7145,309450,Disorder of O-xylosylglycan synthesis,rare inborn errors of metabolism|rare genetic diseases
7146,309458,Disorder of O-N-acetylgalactosaminylglycan synthesis,rare inborn errors of metabolism|rare genetic diseases
7147,309463,Disorder of O-xylosyl/N-acetylgalactosaminylglycan synthesis,rare inborn errors of metabolism|rare genetic diseases
7148,309469,Disorder of O-mannosylglycan synthesis,rare inborn errors of metabolism|rare genetic diseases
7149,309505,Disorder of fucoglycosan synthesis,rare inborn errors of metabolism|rare genetic diseases
7150,309515,Disorder of glycosphingolipid and glycosylphosphatidylinositol anchor glycosylation,rare inborn errors of metabolism|rare genetic diseases
7151,309526,Disorder of multiple glycosylation,rare inborn errors of metabolism|rare genetic diseases
7152,309568,Defect in conserved oligomeric Golgi complex,rare inborn errors of metabolism|rare genetic diseases
7153,309778,Defect in V-ATPase,rare inborn errors of metabolism|rare genetic diseases
7154,309789,Rhizomelic chondrodysplasia punctata type 1,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare bone diseases
7155,309796,Rhizomelic chondrodysplasia punctata type 2,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare bone diseases
7156,309803,Rhizomelic chondrodysplasia punctata type 3,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare bone diseases
7157,309810,"Disorder of peroxisomal alpha-, beta- and omega-oxidation",rare inborn errors of metabolism|rare genetic diseases|rare transplant-related disorders
7158,309813,Disorder of porphyrin and heme metabolism,rare inborn errors of metabolism|rare genetic diseases
7159,309816,Disorder of bilirubin metabolism and excretion,rare inborn errors of metabolism|rare genetic diseases
7160,309819,Disorder of pterin metabolism,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
7161,309824,Disorder of metabolite absorption and transport,rare inborn errors of metabolism|rare genetic diseases
7162,309827,Disorder of vitamin and non-protein cofactor absorption and transport,rare inborn errors of metabolism|rare genetic diseases
7163,309830,Disorder of catecholamine synthesis,rare inborn errors of metabolism|rare genetic diseases
7164,309833,Disorder of other vitamins and cofactors metabolism and transport,rare inborn errors of metabolism|rare genetic diseases
7165,309836,Disorder of mineral absorption and transport,rare inborn errors of metabolism|rare genetic diseases
7166,309839,Disorder of copper metabolism,rare inborn errors of metabolism|rare genetic diseases
7167,309842,Disorder of iron metabolism and transport,rare inborn errors of metabolism|rare genetic diseases
7168,309845,Disorder of zinc metabolism and transport,rare inborn errors of metabolism|rare genetic diseases
7169,309848,Disorder of magnesium transport,rare inborn errors of metabolism|rare genetic diseases
7170,309851,Disorder of manganese transport,rare inborn errors of metabolism|rare genetic diseases
7171,309854,Cirrhosis-dystonia-polycythemia-hypermanganesemia syndrome,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare hepatic diseases
7172,310050,Acquired immunodeficiency,rare immunological diseases
7173,313772,Early-onset spastic ataxia-myoclonic epilepsy-neuropathy syndrome,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
7174,313781,20p13 microdeletion syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7175,313795,Jawad syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7176,313800,Retinal dystrophy-optic nerve edema-splenomegaly-anhidrosis-migraine headache syndrome,rare genetic diseases|rare abdominal surgical diseases|rare ophthalmic disorders
7177,313808,Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia,rare genetic diseases|rare neurological diseases
7178,313838,Coats plus syndrome,rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
7179,313846,Familial cutaneous telangiectasia and oropharyngeal cancer predisposition syndrome,rare genetic diseases|rare skin diseases|rare neoplastic diseases
7180,313850,Infantile cerebellar-retinal degeneration,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
7181,313855,FGFR2-related bent bone dysplasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
7182,313884,12p12.1 microdeletion syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7183,313892,Developmental and speech delay due to SOX5 deficiency,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7184,313906,Congenital pancreatic cyst,rare gastroenterological diseases|rare transplant-related disorders
7185,313920,Epstein-Barr virus-associated gastric carcinoma,rare gastroenterological diseases|rare neoplastic diseases
7186,313936,PENS syndrome,rare genetic diseases|rare skin diseases|rare neoplastic diseases
7187,313947,2q23.1 microduplication syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7188,314002,Contractures-webbed neck-micrognathia-hypoplastic nipples syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
7189,314017,Idiopathic linear interstitial keratitis,rare ophthalmic disorders
7190,314022,Gastric adenocarcinoma and proximal polyposis of the stomach,rare gastroenterological diseases|rare neoplastic diseases
7191,314029,High bone mass osteogenesis imperfecta,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
7192,314034,7p22.1 microduplication syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7193,314041,Marfanoid habitus-inguinal hernia-advanced bone age syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
7194,314051,Leukoencephalopathy-thalamus and brainstem anomalies-high lactate syndrome,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
7195,314373,Chronic infantile diarrhea due to guanylate cyclase 2C overactivity,rare gastroenterological diseases|rare genetic diseases|rare transplant-related disorders
7196,314376,Intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency,rare gastroenterological diseases|rare genetic diseases|rare transplant-related disorders
7197,314381,Hereditary sensory and autonomic neuropathy type 6,rare genetic diseases|rare neurological diseases
7198,314389,Xq12-q13.3 duplication syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7199,314394,Short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
7200,314399,Autosomal dominant aplasia and myelodysplasia,rare genetic diseases|rare hematological diseases|rare transplant-related disorders
7201,314404,Autosomal dominant cerebellar ataxia-deafness-narcolepsy syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare otorhinolaryngological diseases
7202,314419,Ameloblastoma,rare odontological diseases|rare neoplastic diseases
7203,314422,Ameloblastic carcinoma,rare odontological diseases|rare neoplastic diseases|Classification of pediatric cancer (Functional)
7204,314425,Rare odontogenic tumor,rare odontological diseases|rare neoplastic diseases
7205,314432,Spigelian hernia-cryptorchidism syndrome,rare developmental anomalies during embryogenesis|rare abdominal surgical diseases
7206,314451,Meigs syndrome,rare neoplastic diseases|rare gynecological and obstetric diseases
7207,314459,Pseudo-Meigs syndrome,rare neoplastic diseases|rare gynecological and obstetric diseases
7208,314466,Atypical Meigs syndrome,rare neoplastic diseases|rare gynecological and obstetric diseases
7209,314473,Ovarian fibroma,rare neoplastic diseases|rare gynecological and obstetric diseases
7210,314478,Ovarian fibrothecoma,rare neoplastic diseases|rare gynecological and obstetric diseases
7211,314485,Young adult-onset distal hereditary motor neuropathy,rare genetic diseases|rare neurological diseases
7212,314555,Facial dysmorphism-ocular anomalies-osteopenia-intellectual disability-dental anomalies syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders|rare odontological diseases|rare bone diseases
7213,314566,Primary progressive apraxia of speech,rare neurological diseases
7214,314572,Autosomal recessive leukoencephalopathy-ischemic stroke-retinitis pigmentosa syndrome,rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
7215,314575,Intellectual disability-hypotonia-brachycephaly-pyloric stenosis-cryptorchidism syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7216,314585,15q overgrowth syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
7217,314588,Distal triplication 15q syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
7218,314597,Chudley-McCullough syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare otorhinolaryngological diseases
7219,314603,Autosomal recessive spastic ataxia with leukoencephalopathy,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
7220,314613,Growing teratoma syndrome,rare neoplastic diseases|rare transplant-related disorders|Classification of pediatric cancer (Functional)
7221,314621,Duplication of the pituitary gland,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare endocrine diseases
7222,314629,CLN11 disease,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
7223,314632,CLN12 disease,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
7224,314637,Mitochondrial hypertrophic cardiomyopathy with lactic acidosis due to MTO1 deficiency,rare cardiac diseases|rare inborn errors of metabolism|rare genetic diseases|rare transplant-related disorders
7225,314647,Non-progressive cerebellar ataxia with intellectual disability,rare genetic diseases|rare neurological diseases
7226,314652,Variant ABeta2M amyloidosis,rare genetic diseases|rare systemic and rheumatological diseases
7227,314655,Severe neonatal hypotonia-seizures-encephalopathy syndrome due to 5q31.3 microdeletion,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7228,314662,Segmental progressive overgrowth syndrome with fibroadipose hyperplasia,rare developmental anomalies during embryogenesis|rare genetic diseases
7229,314667,TMEM165-CDG,rare developmental anomalies during embryogenesis|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare hepatic diseases|rare bone diseases
7230,314679,Cerebrofacioarticular syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7231,314684,Primary bone lymphoma,rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders|Classification of pediatric cancer (Functional)
7232,314689,Combined immunodeficiency due to STK4 deficiency,rare genetic diseases|rare immunological diseases|rare transplant-related disorders
7233,314697,Acquired porencephaly,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7234,314701,Primary systemic amyloidosis,rare cardiac diseases|rare neurological diseases|rare renal diseases|rare hematological diseases|rare systemic and rheumatological diseases|rare neoplastic diseases
7235,314709,Primary localized amyloidosis,rare cardiac diseases|rare neurological diseases|rare renal diseases|rare hematological diseases|rare systemic and rheumatological diseases|rare neoplastic diseases
7236,314718,Lethal arteriopathy syndrome due to fibulin-4 deficiency,rare developmental anomalies during embryogenesis|rare genetic diseases|rare abdominal surgical diseases|rare surgical thoracic diseases|rare skin diseases|rare circulatory system diseases
7237,314721,Atypical dentin dysplasia due to SMOC2 deficiency,rare genetic diseases|rare odontological diseases
7238,314749,Rare disease with adrenal Cushing syndrome as a major feature,rare endocrine diseases
7239,314753,Functioning pituitary adenoma,rare endocrine diseases|rare neoplastic diseases
7240,314759,Mixed functioning pituitary adenoma,rare endocrine diseases|rare neoplastic diseases
7241,314769,Somatomammotropinoma,rare endocrine diseases|rare neoplastic diseases
7242,314777,Familial isolated pituitary adenoma,rare endocrine diseases|rare neoplastic diseases
7243,314786,Silent pituitary adenoma,rare endocrine diseases|rare neoplastic diseases
7244,314790,Null pituitary adenoma,rare endocrine diseases|rare neoplastic diseases
7245,314795,SHOX-related short stature,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
7246,314802,Short stature due to partial GHR deficiency,rare genetic diseases|rare endocrine diseases
7247,314811,Short stature due to GHSR deficiency,rare genetic diseases|rare endocrine diseases
7248,314822,Primary renal tubular acidosis,rare genetic diseases|rare renal diseases
7249,314889,Autosomal dominant proximal renal tubular acidosis,rare genetic diseases|rare renal diseases
7250,314911,Severe Canavan disease,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
7251,314918,Mild Canavan disease,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
7252,314950,Primary hypereosinophilic syndrome,rare cardiac diseases|rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
7253,314962,Secondary hypereosinophilic syndrome,rare cardiac diseases|rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
7254,314970,Lymphocytic hypereosinophilic syndrome,rare cardiac diseases|rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
7255,314978,X-linked non progressive cerebellar ataxia,rare genetic diseases|rare neurological diseases
7256,314993,Cataract-congenital heart disease-neural tube defect syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
7257,315306,"Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, salt wasting form",rare developmental anomalies during embryogenesis|rare genetic diseases|rare urogenital diseases|rare endocrine diseases|rare infertility disorders|rare gynecological and obstetric diseases
7258,315311,"Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency, simple virilizing form",rare developmental anomalies during embryogenesis|rare genetic diseases|rare urogenital diseases|rare endocrine diseases|rare infertility disorders|rare gynecological and obstetric diseases
7259,315350,Autoimmune disease with skin involvement,rare skin diseases
7260,316226,Spastic ataxia,rare genetic diseases|rare neurological diseases
7261,316235,Autosomal dominant spastic ataxia,rare genetic diseases|rare neurological diseases
7262,316240,Autosomal recessive spastic ataxia,rare genetic diseases|rare neurological diseases
7263,316244,Partial deletion of the short arm of chromosome 12 syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases
7264,317416,T-B+ severe combined immunodeficiency,rare genetic diseases|rare immunological diseases|rare transplant-related disorders
7265,317419,T-B- severe combined immunodeficiency,rare genetic diseases|rare immunological diseases|rare transplant-related disorders
7266,317425,Severe combined immunodeficiency due to DNA-PKcs deficiency,rare genetic diseases|rare immunological diseases|rare transplant-related disorders
7267,317428,Combined immunodeficiency due to ORAI1 deficiency,rare genetic diseases|rare immunological diseases|rare transplant-related disorders
7268,317430,Combined immunodeficiency due to STIM1 deficiency,rare genetic diseases|rare immunological diseases|rare transplant-related disorders
7269,317473,Common variable immunodeficiency phenotype due to IKAROS functional haploinsufficiency,rare genetic diseases|rare immunological diseases
7270,317476,XMEN,rare genetic diseases|rare immunological diseases|rare neoplastic diseases|rare transplant-related disorders
7271,319160,Congenital myopathy with internal nuclei and atypical cores,rare genetic diseases|rare neurological diseases
7272,319171,Distal 17p13.1 microdeletion syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7273,319182,Wiedemann-Steiner syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7274,319189,Familial cortical myoclonus,rare genetic diseases|rare neurological diseases
7275,319192,Diencephalic-mesencephalic junction dysplasia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7276,319195,Chondroectodermal dysplasia with night blindness,rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases|rare bone diseases
7277,319199,Autosomal recessive spastic paraplegia type 53,rare genetic diseases|rare neurological diseases
7278,319205,Bilateral massive adrenal hemorrhage,rare endocrine diseases
7279,319213,Lujo hemorrhagic fever,rare infectious diseases
7280,319218,Ebola hemorrhagic fever,rare infectious diseases
7281,319223,Argentine hemorrhagic fever,rare infectious diseases
7282,319229,Bolivian hemorrhagic fever,rare infectious diseases
7283,319234,Venezuelan hemorrhagic fever,rare infectious diseases
7284,319239,Brazilian hemorrhagic fever,rare infectious diseases
7285,319244,Chapare hemorrhagic fever,rare infectious diseases
7286,319247,Hantavirus pulmonary syndrome,rare infectious diseases
7287,319251,Rift valley fever,rare infectious diseases
7288,319254,Kyasanur forest disease,rare infectious diseases
7289,319266,Omsk hemorrhagic fever,rare infectious diseases
7290,319276,Clear cell renal carcinoma,rare renal diseases|rare neoplastic diseases|rare transplant-related disorders
7291,319287,Multilocular cystic renal neoplasm of low malignant potential,rare renal diseases|rare neoplastic diseases|rare transplant-related disorders
7292,319298,Papillary renal cell carcinoma,rare renal diseases|rare neoplastic diseases|rare transplant-related disorders
7293,319303,Chromophobe renal cell carcinoma,rare renal diseases|rare neoplastic diseases|rare transplant-related disorders
7294,319308,MiT family translocation renal cell carcinoma,rare renal diseases|rare neoplastic diseases|rare transplant-related disorders|Classification of pediatric cancer (Functional)
7295,319319,Renal medullary carcinoma,rare renal diseases|rare neoplastic diseases|rare transplant-related disorders
7296,319322,Mucinous tubular and spindle cell renal carcinoma,rare renal diseases|rare neoplastic diseases|rare transplant-related disorders|Classification of pediatric cancer (Functional)
7297,319325,Tubulocystic renal cell carcinoma,rare renal diseases|rare neoplastic diseases|rare transplant-related disorders
7298,319328,Inherited renal cancer-predisposing syndrome,rare genetic diseases|rare renal diseases|rare neoplastic diseases
7299,319332,Autosomal recessive myogenic arthrogryposis multiplex congenita,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7300,319340,Carney complex-trismus-pseudocamptodactyly syndrome,rare cardiac diseases|rare developmental anomalies during embryogenesis|rare genetic diseases|rare skin diseases|rare bone diseases|rare neoplastic diseases
7301,319462,Inherited cancer-predisposing syndrome due to biallelic BRCA2 mutations,rare genetic diseases|rare renal diseases|rare neoplastic diseases
7302,319465,Inherited acute myeloid leukemia,rare genetic diseases|rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders|Classification of pediatric cancer (Functional)
7303,319480,Acute myeloid leukemia with CEBPA somatic mutations,rare genetic diseases|rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders|Classification of pediatric cancer (Functional)
7304,319487,Familial papillary or follicular thyroid carcinoma,rare genetic diseases|rare endocrine diseases|rare neoplastic diseases
7305,319494,Familial nonmedullary thyroid carcinoma,rare genetic diseases|rare endocrine diseases|rare neoplastic diseases
7306,319504,Combined oxidative phosphorylation defect type 8,rare inborn errors of metabolism|rare genetic diseases
7307,319509,Combined oxidative phosphorylation defect type 9,rare inborn errors of metabolism|rare genetic diseases
7308,319514,Combined oxidative phosphorylation defect type 13,rare inborn errors of metabolism|rare genetic diseases
7309,319519,Combined oxidative phosphorylation defect type 14,rare inborn errors of metabolism|rare genetic diseases
7310,319524,Combined oxidative phosphorylation defect type 15,rare inborn errors of metabolism|rare genetic diseases
7311,319535,Autosomal recessive mendelian susceptibility to mycobacterial diseases due to a complete deficiency,rare genetic diseases|rare immunological diseases
7312,319539,Autosomal recessive mendelian susceptibility to mycobacterial diseases due to a partial deficiency,rare genetic diseases|rare immunological diseases
7313,319543,Autosomal dominant mendelian susceptibility to mycobacterial diseases due to a partial deficiency,rare genetic diseases|rare immunological diseases
7314,319547,Mendelian susceptibility to mycobacterial diseases due to complete IFNgammaR2 deficiency,rare genetic diseases|rare immunological diseases
7315,319552,Mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency,rare genetic diseases|rare immunological diseases
7316,319558,Mendelian susceptibility to mycobacterial diseases due to complete IL12B deficiency,rare genetic diseases|rare immunological diseases
7317,319563,Mendelian susceptibility to mycobacterial diseases due to complete ISG15 deficiency,rare genetic diseases|rare immunological diseases|rare systemic and rheumatological diseases|rare systemic or rheumatologic diseases of childhood
7318,319569,Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency,rare genetic diseases|rare immunological diseases
7319,319574,Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency,rare genetic diseases|rare immunological diseases
7320,319581,Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency,rare genetic diseases|rare immunological diseases
7321,319589,Autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency,rare genetic diseases|rare immunological diseases
7322,319595,Mendelian susceptibility to mycobacterial diseases due to partial STAT1 deficiency,rare genetic diseases|rare immunological diseases
7323,319600,Mendelian susceptibility to mycobacterial diseases due to partial IRF8 deficiency,rare genetic diseases|rare immunological diseases
7324,319605,X-linked mendelian susceptibility to mycobacterial diseases,rare genetic diseases|rare immunological diseases
7325,319635,Amyloidosis cutis dyschromia,rare skin diseases
7326,319640,Retinal macular dystrophy type 2,rare genetic diseases|rare ophthalmic disorders
7327,319646,PGM1-CDG,rare cardiac diseases|rare inborn errors of metabolism|rare genetic diseases|rare hepatic diseases|rare transplant-related disorders
7328,319651,Constitutional megaloblastic anemia with severe neurologic disease,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare hematological diseases
7329,319667,Primary lymphoma of the conjunctiva,rare hematological diseases|rare neoplastic diseases|rare transplant-related disorders
7330,319671,Alazami syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7331,319675,"Microcephalic primordial dwarfism, Dauber type",rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7332,319678,Encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome,rare cardiac diseases|rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare transplant-related disorders
7333,319719,Autoinflammatory syndrome of childhood,rare systemic or rheumatologic diseases of childhood
7334,320332,X-linked pure spastic paraplegia,rare genetic diseases|rare neurological diseases
7335,320335,Pure or complex hereditary spastic paraplegia,rare genetic diseases|rare neurological diseases
7336,320342,Pure or complex autosomal dominant spastic paraplegia,rare genetic diseases|rare neurological diseases
7337,320346,Pure or complex autosomal recessive spastic paraplegia,rare genetic diseases|rare neurological diseases
7338,320350,Pure or complex X-linked spastic paraplegia,rare genetic diseases|rare neurological diseases
7339,320355,Autosomal dominant spastic paraplegia type 41,rare genetic diseases|rare neurological diseases
7340,320360,MT-ATP6-related mitochondrial spastic paraplegia,rare genetic diseases|rare neurological diseases
7341,320365,Autosomal dominant spastic paraplegia type 36,rare genetic diseases|rare neurological diseases
7342,320370,Autosomal recessive spastic paraplegia type 43,rare genetic diseases|rare neurological diseases
7343,320375,Autosomal recessive spastic paraplegia type 55,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
7344,320380,Autosomal recessive spastic paraplegia type 54,rare genetic diseases|rare neurological diseases
7345,320385,Hereditary sensory and autonomic neuropathy due to TECPR2 mutation,rare genetic diseases|rare neurological diseases
7346,320391,Autosomal recessive spastic paraplegia type 46,rare genetic diseases|rare neurological diseases
7347,320396,Autosomal recessive spastic paraplegia type 45,rare genetic diseases|rare neurological diseases
7348,320401,Autosomal recessive spastic paraplegia type 44,rare genetic diseases|rare neurological diseases
7349,320406,Spastic paraplegia-optic atrophy-neuropathy syndrome,rare genetic diseases|rare neurological diseases|rare ophthalmic disorders
7350,320411,Autosomal recessive spastic paraplegia type 56,rare genetic diseases|rare neurological diseases
7351,322126,Genetic tumor of hematopoietic and lymphoid tissues,rare genetic diseases
7352,324262,Autosomal recessive congenital cerebellar ataxia due to MGLUR1 deficiency,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
7353,324290,PRDM8-related progressive myoclonus epilepsy,rare genetic diseases|rare neurological diseases
7354,324294,T-cell immunodeficiency with epidermodysplasia verruciformis,rare genetic diseases|rare immunological diseases|rare transplant-related disorders
7355,324299,Multiple paragangliomas associated with polycythemia,rare genetic diseases|rare endocrine diseases|rare hematological diseases|rare neoplastic diseases
7356,324307,Severe lateral tibial bowing-short stature-mild winged scapula-mild facial dysmorphism syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
7357,324313,9p13 microdeletion syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7358,324321,Sinoatrial node dysfunction and deafness,rare cardiac diseases|rare developmental anomalies during embryogenesis|rare genetic diseases|rare otorhinolaryngological diseases
7359,324353,Congenital achiasma,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7360,324364,Mixed sclerosing bone dystrophy with extra-skeletal manifestations,rare developmental anomalies during embryogenesis|rare genetic diseases|rare bone diseases
7361,324381,Hereditary inclusion body myopathy type 4,rare genetic diseases|rare neurological diseases
7362,324410,X-linked intellectual disability-cardiomegaly-congestive heart failure syndrome,rare cardiac diseases|rare genetic diseases|rare neurological diseases
7363,324416,Muscular hypertrophy-hepatomegaly-polyhydramnios syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7364,324422,ALG13-CDG,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases|rare hepatic diseases
7365,324442,Autosomal recessive axonal neuropathy with neuromyotonia,rare genetic diseases|rare neurological diseases
7366,324525,Hypertrophic cardiomyopathy with kidney anomalies due to mitochondrial DNA mutation,rare cardiac diseases|rare inborn errors of metabolism|rare genetic diseases|rare renal diseases|rare transplant-related disorders
7367,324530,Autoinflammation-PLCG2-associated antibody deficiency-immune dysregulation,rare genetic diseases|rare systemic and rheumatological diseases|rare systemic or rheumatologic diseases of childhood
7368,324535,Combined oxidative phosphorylation defect type 11,rare inborn errors of metabolism|rare genetic diseases|rare neurological diseases
7369,324540,Aphonia-deafness-retinal dystrophy-bifid halluces-intellectual disability syndrome,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7370,324561,Hypopigmentation-punctate palmoplantar keratoderma syndrome,rare genetic diseases|rare skin diseases
7371,324569,Pontocerebellar hypoplasia type 8,rare developmental anomalies during embryogenesis|rare genetic diseases|rare neurological diseases
7372,324575,Hyperinsulinism due to HNF1A deficiency,rare inborn errors of metabolism|rare genetic diseases|rare endocrine diseases
7373,324581,Benign Samaritan congenital myopathy,rare genetic diseases|rare neurological diseases
7374,324585,Autosomal dominant intermediate Charcot-Marie-Tooth disease with neuropathic pain,rare genetic diseases|rare neurological diseases
7375,324588,Familial dyskinesia and facial myokymia,rare genetic diseases|rare neurological diseases
7376,324601,X-linked cleft palate and ankyloglossia,rare developmental anomalies during embryogenesis|rare genetic diseases|rare otorhinolaryngological diseases|rare surgical maxillo-facial diseases
7377,324604,Classic multiminicore myopathy,rare genetic diseases|rare neurological diseases
7378,324611,Autosomal dominant Charcot-Marie-Tooth disease type 2 due to KIF5A mutation,rare genetic diseases|rare neurological diseases
7379,324625,Chikungunya,rare neurological diseases|rare infectious diseases
7380,324632,Hendra virus infection,rare neurological diseases|rare infectious diseases
7381,324636,Autoerythrocyte sensitization syndrome,rare skin diseases
7382,324648,Invasive non-typhoidal salmonellosis,rare infectious diseases
7383,324703,ABetaL34V amyloidosis,rare genetic diseases|rare neurological diseases|rare systemic and rheumatological diseases
7384,324708,"ABeta amyloidosis, Iowa type",rare genetic diseases|rare neurological diseases|rare systemic and rheumatological diseases
7385,324713,"ABeta amyloidosis, Italian type",rare genetic diseases|rare neurological diseases|rare systemic and rheumatological diseases
